"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Ubb",8.70210974925409e-98,0.857766241707556,1,1,9.66195245459681e-94,"0","Ubb"
"Fos",4.95752374910851e-90,0.898547672623053,1,0.98,5.50433861863518e-86,"0","Fos"
"Jund",1.14807139448063e-81,0.884185676933028,1,0.997,1.27470366929185e-77,"0","Jund"
"Ier2",1.16504014574497e-48,0.752652211769383,0.978,0.951,1.29354407382064e-44,"0","Ier2"
"Eif1",1.42442426958788e-48,0.40146243498639,1,1,1.58153826652342e-44,"0","Eif1"
"Jun",2.05944957642027e-47,0.773603366096876,0.97,0.913,2.28660686469943e-43,"0","Jun"
"Abhd16a",2.42166186870586e-47,0.468955848787112,0.74,0.367,2.68877117282411e-43,"0","Abhd16a"
"Hsp90ab1",8.14851792717954e-47,0.510843517311879,1,0.999,9.04729945454745e-43,"0","Hsp90ab1"
"Dnajb1",8.82550145018528e-45,0.898630375004535,0.899,0.881,9.79895426014071e-41,"0","Dnajb1"
"Fth1",4.61866158396767e-44,0.434720851269872,1,0.999,5.12809995667931e-40,"0","Fth1"
"Nr4a1",5.08967141592242e-44,0.589526607100058,0.824,0.449,5.65106217309866e-40,"0","Nr4a1"
"Ubc",5.00476712643944e-41,0.661399695660199,0.972,0.948,5.55679294048571e-37,"0","Ubc"
"Btg2",4.02386825960795e-40,0.545590053119124,1,0.982,4.4677009286427e-36,"0","Btg2"
"Ube2s",3.12066024527464e-39,0.395761561033105,0.703,0.34,3.46486907032844e-35,"0","Ube2s"
"Ly6h",3.34596509743317e-39,0.441203695142786,1,0.996,3.71502504768005e-35,"0","Ly6h"
"Eif1a",2.21202021244994e-37,0.398369634944558,0.699,0.349,2.45600604188317e-33,"0","Eif1a"
"Rpl22l1",2.91285035170383e-37,0.590579826760692,1,0.994,3.23413774549676e-33,"0","Rpl22l1"
"Epha5",4.13712662297311e-37,0.437054758923917,0.923,0.543,4.59345168948704e-33,"0","Epha5"
"Hspa8",4.36380635125498e-37,0.49217377455611,1,0.997,4.84513419179841e-33,"0","Hspa8"
"Siah2",1.64113814004258e-36,0.335683441298454,0.394,0.141,1.82215567688928e-32,"0","Siah2"
"Sirt3",4.76970089114277e-36,0.415684043906975,0.708,0.369,5.29579889943582e-32,"0","Sirt3"
"Jpt1",9.41122015304509e-36,0.524368536294016,0.88,0.575,1.0449277735926e-31,"0","Jpt1"
"Hagh",1.62462240922561e-35,0.368185506536492,0.781,0.433,1.80381826096319e-31,"0","Hagh"
"Nrtn",2.4822418001829e-35,0.384450255083985,0.499,0.218,2.75603307074308e-31,"0","Nrtn"
"Efemp1",4.20447604405568e-35,0.410030369632451,0.744,0.407,4.66822975171503e-31,"0","Efemp1"
"Fbxo2",4.44220030539916e-35,0.464447300168066,0.882,0.551,4.93217499908468e-31,"0","Fbxo2"
"Actg1",1.44606935683939e-34,0.558167472087354,0.996,0.976,1.60557080689877e-30,"0","Actg1"
"Bsg",2.32211852495505e-34,0.433594896236952,0.998,0.995,2.57824819825759e-30,"0","Bsg"
"Lysmd2",2.32450539480584e-34,0.322070579331887,0.538,0.238,2.58089833985292e-30,"0","Lysmd2"
"Lhfpl5",2.4567867866816e-34,0.427374841490666,0.8,0.474,2.72777036925258e-30,"0","Lhfpl5"
"Phb2",5.41586463654246e-34,0.346933794696137,0.576,0.278,6.01323450595309e-30,"0","Phb2"
"Puf60",7.28054968779707e-34,0.362071848542641,0.744,0.403,8.08359431836108e-30,"0","Puf60"
"Gps1",1.42568294029348e-32,0.344129449392115,0.628,0.311,1.58293576860785e-28,"0","Gps1"
"Atf4",1.76619472722988e-32,0.397103167710727,0.787,0.429,1.96100600564333e-28,"0","Atf4"
"Nfil3",2.60456168743406e-32,0.365309641712898,0.454,0.194,2.89184484155804e-28,"0","Nfil3"
"Mcub",4.72358179927258e-31,0.42390536897239,0.841,0.532,5.24459287173235e-27,"0","Mcub"
"Rad23a",5.88713805833791e-31,0.291996209500612,0.673,0.338,6.53648938617258e-27,"0","Rad23a"
"Wdr18",1.09857047228011e-30,0.28804773100797,0.402,0.162,1.2197427953726e-26,"0","Wdr18"
"Dusp26",5.56719027687255e-30,0.298230480196535,0.572,0.276,6.18125136441159e-26,"0","Dusp26"
"Map2k2",7.33748471398062e-30,0.314258013986912,0.744,0.401,8.14680927793268e-26,"0","Map2k2"
"Klf13",7.67062039831771e-30,0.328314295412456,0.662,0.345,8.51668982825215e-26,"0","Klf13"
"Napa",1.17074700333762e-29,0.322500483686959,0.656,0.345,1.29988039780576e-25,"0","Napa"
"Fibp",1.7546198827786e-29,0.301968994064653,0.501,0.233,1.94815445584908e-25,"0","Fibp"
"Eef1a2",2.09048478377795e-29,0.378094333081728,0.712,0.408,2.32106525542865e-25,"0","Eef1a2"
"Chd3",2.57472784613435e-29,0.342068461874081,0.718,0.396,2.85872032756296e-25,"0","Chd3"
"Selenoh",2.99719279618232e-29,0.328001893777848,0.617,0.325,3.32778316160124e-25,"0","Selenoh"
"Fam241a",4.86506999800584e-29,0.357735542025005,0.514,0.254,5.40168721878589e-25,"0","Fam241a"
"Cidea",9.85412698656615e-29,0.384013876190542,0.505,0.242,1.09410371931844e-24,"0","Cidea"
"Caly",1.01177121280346e-28,0.360003235028082,0.828,0.48,1.12336957757568e-24,"0","Caly"
"Pitx1",1.05317990204278e-28,0.351462813745638,0.72,0.421,1.1693456452381e-24,"0","Pitx1"
"Mfng",1.0598550085669e-28,0.291053400665107,0.456,0.2,1.17675701601183e-24,"0","Mfng"
"Mrps11",1.19786206459834e-28,0.273771618792023,0.63,0.313,1.32998625032354e-24,"0","Mrps11"
"Cebpd",1.44084421230991e-28,1.01584358070853,0.68,0.432,1.59976932892769e-24,"0","Cebpd"
"Myg1",1.54924402530689e-28,0.26207805121782,0.404,0.168,1.72012564129824e-24,"0","Myg1"
"Naa20",1.65010414581797e-28,0.288673594842333,0.54,0.261,1.83211063310169e-24,"0","Naa20"
"Cxxc5",2.32575601210901e-28,0.325142214270567,0.669,0.369,2.58228690024464e-24,"0","Cxxc5"
"Pdcl3",3.0560648549781e-28,0.270011638161635,0.499,0.231,3.39314880848218e-24,"0","Pdcl3"
"Sgta",3.25807830875813e-28,0.295036066263032,0.604,0.306,3.61744434621416e-24,"0","Sgta"
"Senp6",4.19183706319936e-28,0.311237279197117,0.609,0.313,4.65419669127025e-24,"0","Senp6"
"Hmox2",5.0982058026525e-28,0.2950823077687,0.589,0.297,5.66053790268507e-24,"0","Hmox2"
"Uckl1",5.53191820687858e-28,0.271673425806817,0.394,0.162,6.14208878509729e-24,"0","Uckl1"
"Ilkap",6.55505611226896e-28,0.278182985647052,0.576,0.28,7.27807880145222e-24,"0","Ilkap"
"Sncb",7.13830025300768e-28,0.328824520360618,0.546,0.271,7.92565477091442e-24,"0","Sncb"
"Snx17",9.0050513639607e-28,0.305723888588933,0.581,0.294,9.99830852940556e-24,"0","Snx17"
"Pex16",1.25519143144437e-27,0.261954647400612,0.37,0.147,1.39363904633269e-23,"0","Pex16"
"Mrpl57",1.2617889187899e-27,0.27149633513106,0.583,0.294,1.40096423653242e-23,"0","Mrpl57"
"Timm17b",2.99160752244565e-27,0.292824047299875,0.708,0.387,3.32158183217141e-23,"0","Timm17b"
"Actb",3.24077534062956e-27,0.508742716621198,0.996,0.99,3.598232860701e-23,"0","Actb"
"Med31",4.1739992900467e-27,0.267047855124329,0.606,0.307,4.63439141173885e-23,"0","Med31"
"Eif4a3",4.17727001053926e-27,0.274479321978008,0.527,0.258,4.63802289270174e-23,"0","Eif4a3"
"Haghl",4.28846667207779e-27,0.306356766384542,0.51,0.249,4.76148454600797e-23,"0","Haghl"
"Bod1",4.33487026176743e-27,0.286371205135904,0.594,0.305,4.81300645164038e-23,"0","Bod1"
"Rab3a",6.24757060370175e-27,0.340751137356195,0.71,0.389,6.93667764129005e-23,"0","Rab3a"
"Xpa",6.41566025884104e-27,0.253836811964421,0.391,0.164,7.12330758539121e-23,"0","Xpa"
"Top1",1.20351213420445e-26,0.335255417486466,0.606,0.323,1.3362595226072e-22,"0","Top1"
"Hsp90aa1",1.34618842089897e-26,0.419894779478502,0.972,0.953,1.49467300372413e-22,"0","Hsp90aa1"
"Hras",1.803949389419e-26,0.266495830274534,0.469,0.219,2.00292500707192e-22,"0","Hras"
"Eif3i",1.95196206844261e-26,0.290979526546934,0.695,0.389,2.16726348459183e-22,"0","Eif3i"
"Enho",2.01572024350031e-26,0.34238860631945,0.615,0.326,2.23805418635839e-22,"0","Enho"
"Csf2ra",2.19192523881014e-26,0.289747856222897,0.473,0.227,2.4336945926509e-22,"0","Csf2ra"
"Podxl2",2.93705027368995e-26,0.288008204500293,0.51,0.249,3.26100691887795e-22,"0","Podxl2"
"P3h4",3.08122979555446e-26,0.307755110291078,0.54,0.278,3.42108944200412e-22,"0","P3h4"
"Ckb",3.09546244434392e-26,0.432549267326653,0.938,0.901,3.43689195195506e-22,"0","Ckb"
"Snap47",3.13562571943238e-26,0.283228525297142,0.71,0.394,3.48148523628577e-22,"0","Snap47"
"Tbcc",3.40637038673301e-26,0.27226037759673,0.404,0.176,3.78209304038966e-22,"0","Tbcc"
"Adrm1",3.94568206806497e-26,0.275904206084836,0.46,0.213,4.38089080017253e-22,"0","Adrm1"
"Ndufaf3",4.92577050584384e-26,0.32611907919737,0.619,0.345,5.46908299263841e-22,"0","Ndufaf3"
"Pam16",5.2558779099434e-26,0.315469954022843,0.785,0.46,5.83560124341016e-22,"0","Pam16"
"Crip2",7.25627647858988e-26,0.350653073354978,0.824,0.516,8.05664377417834e-22,"0","Crip2"
"Mrps28",9.6649295674195e-26,0.279844204093665,0.602,0.315,1.07309712987059e-21,"0","Mrps28"
"Rassf1",9.96851770929836e-26,0.303504852330466,0.458,0.218,1.1068045212634e-21,"0","Rassf1"
"Tmem176b",1.61662730021107e-25,0.325814510829981,0.985,0.94,1.79494129142435e-21,"0","Tmem176b"
"Baiap3",1.96955586954806e-25,0.323951380491945,0.746,0.43,2.18679788195921e-21,"0","Baiap3"
"Ndufv1",2.40755356860766e-25,0.291945183998701,0.682,0.383,2.67310672722509e-21,"0","Ndufv1"
"Mrps7",2.61801944240651e-25,0.265794178439995,0.443,0.206,2.90678698690395e-21,"0","Mrps7"
"Gnb3",2.71093866283905e-25,0.262133547531951,0.54,0.269,3.00995519735019e-21,"0","Gnb3"
"Wrap73",2.78786780638324e-25,0.270754226431538,0.516,0.253,3.09536962542732e-21,"0","Wrap73"
"Rnf113a2",2.8256445821122e-25,0.279979618514953,0.434,0.203,3.13731317951917e-21,"0","Rnf113a2"
"Hnrnph3",2.85433841635645e-25,0.293070060791195,0.697,0.389,3.16917194368056e-21,"0","Hnrnph3"
"Nucks1",3.74118139093387e-25,0.288787240239434,0.697,0.39,4.15383369835388e-21,"0","Nucks1"
"Crhr1",3.85704185997939e-25,0.297772676952625,0.68,0.378,4.28247357713512e-21,"0","Crhr1"
"Chchd2",4.73080203261711e-25,0.267569421879444,1,0.996,5.25260949681478e-21,"0","Chchd2"
"Emc2",4.93664207044063e-25,0.298931135110846,0.578,0.311,5.48115369081023e-21,"0","Emc2"
"Pdxp",5.60541092916292e-25,0.271313692977918,0.428,0.198,6.22368775464959e-21,"0","Pdxp"
"Ufc1",6.27099287886105e-25,0.283870515894893,0.673,0.377,6.96268339339942e-21,"0","Ufc1"
"Chchd10",7.41836577334842e-25,0.312361068498471,0.744,0.429,8.23661151814875e-21,"0","Chchd10"
"Krcc1",1.02485878564134e-24,0.287232682528539,0.609,0.334,1.13790070969758e-20,"0","Krcc1"
"Psma5",1.29753186327344e-24,0.286390930438896,0.688,0.401,1.4406496277925e-20,"0","Psma5"
"Naxe",1.34822559220764e-24,0.27629459846738,0.686,0.395,1.49693487502814e-20,"0","Naxe"
"Hdac11",1.40408416287535e-24,0.275096652164568,0.671,0.375,1.55895464604051e-20,"0","Hdac11"
"Pabpn1",1.41691012841594e-24,0.2994280124335,0.652,0.365,1.57319531558022e-20,"0","Pabpn1"
"Polr2i",1.56186866959174e-24,0.251731896209633,0.574,0.299,1.73414278384771e-20,"0","Polr2i"
"Lmna",1.87454242191047e-24,0.264103919121897,0.462,0.22,2.0813044510472e-20,"0","Lmna"
"Lrp1b",2.28131633000998e-24,0.299226404045437,0.665,0.375,2.53294552121008e-20,"0","Lrp1b"
"Atp1a2",2.49388865496229e-24,0.300068441420773,0.772,0.446,2.76896457360463e-20,"0","Atp1a2"
"Aurkaip1",2.50626378103214e-24,0.282684974480098,0.731,0.433,2.78270467607998e-20,"0","Aurkaip1"
"Tmem134",2.60939318577006e-24,0.274505115908056,0.523,0.267,2.8972092541605e-20,"0","Tmem134"
"Pkm",2.98159393050982e-24,0.306127246507273,0.961,0.917,3.31046374104505e-20,"0","Pkm"
"Naaa",3.58840022415893e-24,0.252127335064272,0.394,0.175,3.98420076888366e-20,"0","Naaa"
"Yeats4",4.11297315178012e-24,0.267277522386592,0.559,0.293,4.56663409042147e-20,"0","Yeats4"
"Polr2c",4.12171055232492e-24,0.270241812897105,0.658,0.367,4.57633522624635e-20,"0","Polr2c"
"Ptpn1",4.20110354001966e-24,0.252777057656647,0.555,0.285,4.66448526048383e-20,"0","Ptpn1"
"Pttg1",4.29918518706615e-24,0.259182505210937,0.535,0.273,4.77338531319954e-20,"0","Pttg1"
"Psmd7",6.91285713048649e-24,0.304072665308363,0.639,0.359,7.67534527197915e-20,"0","Psmd7"
"Mettl26",7.07260109460619e-24,0.282899551110238,0.729,0.432,7.85270899534126e-20,"0","Mettl26"
"Irak1bp1",7.48266121226665e-24,0.276802801592485,0.566,0.304,8.30799874397966e-20,"0","Irak1bp1"
"Eif6",1.18867974306117e-23,0.265467932885133,0.548,0.285,1.31979111872082e-19,"0","Eif6"
"Rer1",1.26494399638942e-23,0.271574740156693,0.667,0.379,1.40446731919117e-19,"0","Rer1"
"Mbd2",2.10002636199891e-23,0.260307351033817,0.542,0.284,2.33165926972739e-19,"0","Mbd2"
"Aarsd1",2.4340631654806e-23,0.266189051251624,0.413,0.194,2.70254033263311e-19,"0","Aarsd1"
"Tomm40",3.04953809392635e-23,0.276353994098109,0.559,0.3,3.38590214568642e-19,"0","Tomm40"
"Syp",3.28319866315273e-23,0.298720101337048,0.692,0.401,3.64533547569848e-19,"0","Syp"
"Zfp91",4.65856562380585e-23,0.273121765413509,0.512,0.262,5.17240541211164e-19,"0","Zfp91"
"Nfe2l2",4.93448603777861e-23,0.271868692849679,0.434,0.212,5.4787598477456e-19,"0","Nfe2l2"
"Timm10b",4.96474150114668e-23,0.257089896231149,0.596,0.318,5.51235248872316e-19,"0","Timm10b"
"Coq10b",5.66177047212461e-23,0.349191993521579,0.684,0.406,6.28626375519996e-19,"0","Coq10b"
"Aig1",6.41747525463769e-23,0.258347491113416,0.662,0.372,7.12532277522422e-19,"0","Aig1"
"Psmd13",7.74610669358301e-23,0.304342210148169,0.656,0.375,8.60050226188522e-19,"0","Psmd13"
"Mrpl43",7.8039445380087e-23,0.260444987446063,0.553,0.299,8.66471962055106e-19,"0","Mrpl43"
"Malsu1",1.01851905882551e-22,0.253011703720635,0.445,0.217,1.13086171101396e-18,"0","Malsu1"
"Faap20",1.04692140107838e-22,0.252561429392328,0.492,0.253,1.16239683161732e-18,"0","Faap20"
"Kazald1",1.31340365817238e-22,0.259410697543564,0.501,0.262,1.45827208166879e-18,"0","Kazald1"
"Smap1",1.38358560281213e-22,0.267374165434001,0.557,0.306,1.53619509480231e-18,"0","Smap1"
"Prmt1",1.3922912359754e-22,0.300202802208233,0.682,0.404,1.54586095930349e-18,"0","Prmt1"
"Gapdh",1.64633678472894e-22,0.321120572140465,0.991,0.975,1.82792773208454e-18,"0","Gapdh"
"Bphl",1.87441257340248e-22,0.266571594173042,0.641,0.368,2.08116028024877e-18,"0","Bphl"
"Ppid",1.93698232628207e-22,0.263469246831658,0.46,0.234,2.15063147687098e-18,"0","Ppid"
"Sh3glb2",1.97430644326532e-22,0.284024462274222,0.774,0.46,2.19207244395749e-18,"0","Sh3glb2"
"Egr2",1.9778984159953e-22,0.357293846262724,0.604,0.322,2.19606061127958e-18,"0","Egr2"
"Ric8a",2.1394848284597e-22,0.261425424652474,0.391,0.179,2.3754700050388e-18,"0","Ric8a"
"Cebpzos",2.50771856793825e-22,0.270366022543406,0.667,0.386,2.78431992598184e-18,"0","Cebpzos"
"Rnh1",3.06299429501237e-22,0.287635036951772,0.69,0.405,3.40084256575223e-18,"0","Rnh1"
"Pard6a",3.21197260399464e-22,0.288113263780053,0.523,0.281,3.56625318221524e-18,"0","Pard6a"
"Hmgcr",4.40917656211795e-22,0.256883899763347,0.402,0.191,4.89550873691956e-18,"0","Hmgcr"
"Trappc2l",4.9894531131742e-22,0.266703096331981,0.772,0.476,5.53978979155731e-18,"0","Trappc2l"
"Lztfl1",7.14832172243023e-22,0.293606207818295,0.609,0.341,7.93678160841428e-18,"0","Lztfl1"
"Cycs",9.90869604757649e-22,0.283888150317532,0.649,0.378,1.10016252216242e-17,"0","Cycs"
"Smyd2",9.94570750720208e-22,0.287206386651666,0.606,0.345,1.10427190452465e-17,"0","Smyd2"
"Psmb5",1.16981265418066e-21,0.256484949701071,0.774,0.502,1.29884298993679e-17,"0","Psmb5"
"Abhd8",1.37911914744334e-21,0.257263984482061,0.68,0.39,1.53123598940634e-17,"0","Abhd8"
"Ccnl1",1.8184225663278e-21,0.30875958045995,0.684,0.407,2.01899457539376e-17,"0","Ccnl1"
"Ndufv2",2.02011981447798e-21,0.268514728876523,0.649,0.384,2.24293903001491e-17,"0","Ndufv2"
"Mcl1",2.27150902289147e-21,0.325815612352899,0.553,0.301,2.5220564681164e-17,"0","Mcl1"
"Socs3",2.504651712602e-21,0.659602957244551,0.733,0.582,2.780914796502e-17,"0","Socs3"
"Mapk8ip1",2.60051988816676e-21,0.261003943416477,0.656,0.373,2.88735723183156e-17,"0","Mapk8ip1"
"Pin1",2.73962865068846e-21,0.334665430446048,0.682,0.429,3.0418096908594e-17,"0","Pin1"
"Cfap36",3.35126064526251e-21,0.284991548880547,0.77,0.479,3.72090469443496e-17,"0","Cfap36"
"Gnas",4.09086809714181e-21,0.28225214970835,1,1,4.54209084825656e-17,"0","Gnas"
"Magi2",4.91363109613805e-21,0.285297076299504,0.553,0.312,5.45560460604208e-17,"0","Magi2"
"Kctd2",5.58161666686731e-21,0.250719363826576,0.559,0.302,6.19726898522277e-17,"0","Kctd2"
"Nr3c1",5.62383355486183e-21,0.262494085914377,0.862,0.536,6.24414239596309e-17,"0","Nr3c1"
"Tiparp",5.99831889086349e-21,0.337774432649099,0.475,0.248,6.65993346452574e-17,"0","Tiparp"
"Nceh1",7.66522479657186e-21,0.275040575385063,0.568,0.33,8.51069909163373e-17,"0","Nceh1"
"Pcsk1n",8.39853773288918e-21,0.275904206084835,1,0.998,9.32489644482685e-17,"0","Pcsk1n"
"Nap1l5",9.52650939077232e-21,0.320802760439656,0.951,0.914,1.05772833765745e-16,"0","Nap1l5"
"Blvrb",1.40805034842044e-20,0.269439542358704,0.581,0.334,1.56335830185122e-16,"0","Blvrb"
"Tekt1",1.43704186457768e-20,0.333197431132346,0.809,0.528,1.5955475822406e-16,"0","Tekt1"
"Bpgm",2.48581330896833e-20,0.279535659650389,0.622,0.36,2.75999851694754e-16,"0","Bpgm"
"Chrac1",2.71851174327368e-20,0.276662123118758,0.667,0.402,3.01836358855677e-16,"0","Chrac1"
"Dek",2.74310518347038e-20,0.263421575445789,0.473,0.254,3.04566968520716e-16,"0","Dek"
"Pkig",2.85326091104117e-20,0.260492480451989,0.589,0.333,3.16797558952901e-16,"0","Pkig"
"Rab1b",3.64315484186419e-20,0.260100251748214,0.48,0.257,4.04499482092181e-16,"0","Rab1b"
"Tob1",3.87424417083286e-20,0.275904206084836,0.733,0.452,4.30157330287572e-16,"0","Tob1"
"Cisd1",3.95334582352563e-20,0.301174771916373,0.875,0.642,4.38939986786051e-16,"0","Cisd1"
"Ube2m",6.04874483744078e-20,0.250190041794649,0.578,0.329,6.7159213930105e-16,"0","Ube2m"
"Nsg1",6.33559581341318e-20,0.262417269427915,0.639,0.389,7.03441203163265e-16,"0","Nsg1"
"Mrps26",6.51270035350812e-20,0.25133548486311,0.542,0.303,7.23105120250006e-16,"0","Mrps26"
"Srsf7",7.13742706008115e-20,0.485340972317371,0.68,0.46,7.9246852648081e-16,"0","Srsf7"
"Ctsf",1.03165416911473e-19,0.250223659015546,0.404,0.206,1.14544562396809e-15,"0","Ctsf"
"Klhdc8b",1.2446642514025e-19,0.270162568158512,0.533,0.303,1.3819507183322e-15,"0","Klhdc8b"
"Gtf2b",1.28802387444666e-19,0.270162568158512,0.551,0.307,1.43009290779813e-15,"0","Gtf2b"
"Ndufs7",1.49367324022158e-19,0.278292994298337,0.871,0.741,1.65842539861802e-15,"0","Ndufs7"
"Vat1",1.62030965226145e-19,0.273618446365777,0.667,0.413,1.79902980690589e-15,"0","Vat1"
"B9d2",1.6382323080563e-19,0.274920438545258,0.432,0.225,1.81892933163491e-15,"0","B9d2"
"Tm2d2",1.6858256061123e-19,0.26008426881091,0.757,0.501,1.87177217046649e-15,"0","Tm2d2"
"Usp2",1.79738684160147e-19,0.301507962969499,0.632,0.372,1.99563861023011e-15,"0","Usp2"
"Pgam1",2.17371776932989e-19,0.287399844922665,0.916,0.781,2.41347883928698e-15,"0","Pgam1"
"Sap18",2.97382307221816e-19,0.278310703791931,0.712,0.414,3.30183575708382e-15,"0","Sap18"
"Wnt4",3.46750560570498e-19,0.260824538722055,0.346,0.162,3.84997147401424e-15,"0","Wnt4"
"Gem",3.75619228966642e-19,0.602241968310208,0.288,0.124,4.17050029921663e-15,"0","Gem"
"Higd1a",4.04565649401585e-19,0.33819601848653,0.865,0.605,4.4918924053058e-15,"0","Higd1a"
"Basp1",5.00405388496385e-19,0.253563560152219,0.523,0.289,5.55600102847537e-15,"0","Basp1"
"Rab25",6.17546204584501e-19,0.257851018680696,0.542,0.31,6.85661550950172e-15,"0","Rab25"
"Pim3",8.35311283848876e-19,0.40019392664176,0.434,0.229,9.27446118457407e-15,"0","Pim3"
"Thra",8.95035185396895e-19,0.262285538675106,0.757,0.471,9.93757566346172e-15,"0","Thra"
"Rprml",9.22317422275606e-19,0.296553618632262,0.546,0.309,1.02404903395261e-14,"0","Rprml"
"Tigd2",9.53780811661855e-19,0.265145803948571,0.572,0.342,1.05898283518816e-14,"0","Tigd2"
"Creg1",1.2022979670877e-18,0.274753272604658,0.839,0.552,1.33491143285747e-14,"0","Creg1"
"Tbx19",1.63802844835417e-18,0.257452547194518,0.609,0.359,1.81870298620763e-14,"0","Tbx19"
"Chek2",1.66847110549325e-18,0.256216599290754,0.447,0.237,1.85250346842915e-14,"0","Chek2"
"Zfp36",1.7269728940732e-18,0.440718815819231,0.806,0.738,1.91745800428948e-14,"0","Zfp36"
"Ifrd1",2.38755213948802e-18,0.27756725530748,0.632,0.383,2.65089914047355e-14,"0","Ifrd1"
"Cebpb",2.70990955305216e-18,0.529037935753461,0.598,0.403,3.00881257675381e-14,"0","Cebpb"
"Mt1",2.95210078284945e-18,0.374538549559424,0.942,0.94,3.27771749919774e-14,"0","Mt1"
"Bhlhe41",4.06144309865423e-18,0.3215952159587,0.475,0.27,4.50942027243579e-14,"0","Bhlhe41"
"Upf3b",5.66779052999672e-18,0.25733866879254,0.574,0.342,6.29294782545536e-14,"0","Upf3b"
"Mdh2",1.5659203358462e-17,0.25127517377922,0.916,0.76,1.73864134889003e-13,"0","Mdh2"
"Mtch1",1.76384351914354e-17,0.261233276714035,0.923,0.861,1.95839545930507e-13,"0","Mtch1"
"Mrln",2.72708406841651e-17,0.301007485661464,0.673,0.438,3.02788144116285e-13,"0","Mrln"
"Dnaja4",2.83517836789225e-17,0.268532217428483,0.333,0.161,3.14789854187077e-13,"0","Dnaja4"
"Ppp1r15a",3.22250546474138e-17,0.491362742176535,0.725,0.524,3.57794781750235e-13,"0","Ppp1r15a"
"Eif3c",5.04910062227356e-17,0.278021147096937,0.686,0.454,5.60601642091034e-13,"0","Eif3c"
"Arc",5.47417569805989e-17,0.656508208299806,0.331,0.167,6.07797727755589e-13,"0","Arc"
"Oser1",6.93944414008597e-17,0.268467617243054,0.454,0.254,7.70486482873746e-13,"0","Oser1"
"Fkbp3",7.56250669568399e-17,0.253605538976061,0.86,0.635,8.39665118421794e-13,"0","Fkbp3"
"Nnat",7.71094213133712e-17,0.348237851171384,0.996,0.996,8.56145904842361e-13,"0","Nnat"
"Kcnk2",1.36026054472782e-16,0.302490595360763,0.761,0.522,1.5102972828113e-12,"0","Kcnk2"
"Klf9",2.16897090069909e-16,0.327516188633488,0.632,0.41,2.4082083910462e-12,"0","Klf9"
"Gadd45b",3.52101082064151e-16,0.316708482616876,0.295,0.139,3.90937831415827e-12,"0","Gadd45b"
"Lcmt2",4.56505036381805e-16,0.264759550385692,0.316,0.157,5.06857541894718e-12,"0","Lcmt2"
"Cdkn1a",6.23231879375245e-16,0.432157244918665,0.368,0.194,6.91974355670335e-12,"0","Cdkn1a"
"Sdccag8",7.95909450375272e-16,0.251601791648238,0.677,0.424,8.83698262751665e-12,"0","Sdccag8"
"Dnajb9",8.63098857928425e-16,0.286760460794075,0.402,0.213,9.58298661957931e-12,"0","Dnajb9"
"Sf3b2",1.66477717924635e-15,0.258783936230585,0.787,0.552,1.84840210211723e-11,"0","Sf3b2"
"Tbc1d1",2.01734190411831e-15,0.279400439503109,0.351,0.184,2.23985471614256e-11,"0","Tbc1d1"
"Rgs16",2.24328676781522e-15,0.40308162457304,0.305,0.152,2.49072129830524e-11,"0","Rgs16"
"Herpud1",3.50944708212872e-15,0.262209601214058,0.544,0.329,3.89653909528751e-11,"0","Herpud1"
"Klf4",3.56942799235014e-14,0.46747288687151,0.297,0.151,3.96313589990636e-10,"0","Klf4"
"Hcfc1r1",7.30629528470465e-14,0.262130850732809,0.92,0.806,8.11217965460758e-10,"0","Hcfc1r1"
"Dnaja1",1.47714333442332e-13,0.402179498097357,0.847,0.856,1.64007224421022e-09,"0","Dnaja1"
"Map1lc3a",3.46235564529867e-13,0.251475236206384,0.817,0.632,3.84425347297511e-09,"0","Map1lc3a"
"Tubb4b",9.72467686487936e-13,0.491978723264435,0.811,0.767,1.07973087230755e-08,"0","Tubb4b"
"Camk2n1",3.05527748949482e-12,0.264778809289023,0.701,0.527,3.39227459658609e-08,"0","Camk2n1"
"Pde10a",3.19210592371617e-12,0.34443167685244,0.516,0.33,3.54419520710206e-08,"0","Pde10a"
"Apoe",8.15140036419395e-10,0.352991592751975,0.52,0.384,9.05049982436455e-06,"0","Apoe"
"Hspe1",6.42362249869492e-09,0.315965116556649,0.852,0.834,7.13214806030097e-05,"0","Hspe1"
"Klf2",8.65794354489072e-07,0.253003803974757,0.202,0.118,0.00961291471789216,"0","Klf2"
"Atf3",1.03095434403457e-06,0.266618249245548,0.471,0.369,0.0114466860818159,"0","Atf3"
"Ptn",1.1464626532225e-112,0.501576318588052,0.775,0.217,1.27291748387294e-108,"1","Ptn"
"Dlk1",3.32691661352141e-77,0.440257887321019,0.923,0.395,3.69387551599283e-73,"1","Dlk1"
"B2m",4.5447900578213e-72,0.406698351880231,0.606,0.183,5.04608040119899e-68,"1","B2m"
"Prl",8.83600298348953e-68,0.861130893620645,0.976,0.804,9.81061411256843e-64,"1","Prl"
"Cd63",1.43165471811978e-55,0.493699975236968,0.907,0.464,1.58956623352839e-51,"1","Cd63"
"Pou1f1",6.23926343539284e-48,0.254614823677975,0.236,0.04,6.92745419231667e-44,"1","Pou1f1"
"Pomc",3.02729635249869e-44,0.772416619911691,1,0.999,3.3612071401793e-40,"1","Pomc"
